,algae,plant,seagrass,bryozoan,cnidarian,annelid,echinoderm,mollusk,crustacean,insect,tunicate,fish,mammal,bacteria,Lichens/bryophytes,algae,plant,seagrass,sponge,cnidarian,annelid,echinoderm,mollusk,crustacean,insect,bird,fish,multiple,plant,insect,mammal,
algae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-1.666667,-1.5,0,-1.4,0,-2,-0.875,-0.5,0,0,-2,0.12,0,0,0,]
plant,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,-0.25,0,0,0,0,0,-1,1.5,-0.75,0.25,0,0.6666667,0,0,0,]
seagrass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,]
bryozoan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,-2,0,0,-2,0,0,0,0,-1,0,0,0,]
cnidarian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2,0,0,0,-0.5,0,0,2,0.4444444,0,0,0,]
annelid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,-0.5,0,-1.333333,0,0,0,0,0,0,0,0,]
echinoderm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
mollusk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,-0.2272727,-0.5,0,1,0,0.1363636,0,0,0,]
crustacean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,-1.636364,-1,2,-1,0,1,0,0,0,]
insect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,]
tunicate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,-0.5714286,0,0,0,]
fish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0.9130435,0.3333333,0,0,0,]
mammal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5,0,0,0,0,0,0,0,0,-0.6666667,0,2,0,0,0,]
bacteria,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,]
Lichens/bryophytes,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,]
algae,-0.25,0,0,-2,0,0.5,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
plant,-1.666667,-0.25,0,0,0,0,0,0,-2,0,0,-1,-2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1428571,0,-2.5,]
seagrass,-1.5,0,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
sponge,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
cnidarian,-1.4,0,0,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
annelid,0,0,0,0,0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
echinoderm,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
mollusk,-0.875,-1,0,-2,0,-1.333333,0,-0.2272727,-1.636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
crustacean,-0.5,1.5,0,0,-0.5,0,0,-0.5,-1,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,]
insect,0,-0.75,0,0,0,0,0,0,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5,-1,0,]
bird,0,0.25,0,0,0,0,0,1,-1,0,0,0,-0.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-0.6666667,]
fish,-2,0,0,0,2,0,0,0,0,0,0,0.9130435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
multiple,0.12,0.6666667,0,-1,0.4444444,0,0,0.1363636,1,0,-0.5714286,0.3333333,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,]
plant,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,-0.1428571,0,0,0,0,0,0,2,-1.5,-1,0,1,0,0,0,]
insect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,]
mammal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5,0,0,0,0,0,0,0,0,-0.6666667,0,2,0,0,0,]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1.666667,1.5,0,1.4,0,2,0.875,0.5,0,0,2,0.12,0,0,0,]
plant,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0.25,0,0,0,0,0,1,1.5,0.75,0.25,0,0.6666667,0,0,0,]
seagrass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,]
bryozoan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,]
cnidarian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0.5,0,0,2,0.4444444,0,0,0,]
annelid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,1.333333,0,0,0,0,0,0,0,0,]
echinoderm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
mollusk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.2272727,0.5,0,1,0,0.1363636,0,0,0,]
crustacean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1.636364,1,2,1,0,1,0,0,0,]
insect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,]
tunicate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.5714286,0,0,0,]
fish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9130435,0.3333333,0,0,0,]
mammal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0.6666667,0,2,0,0,0,]
bacteria,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,]
Lichens/bryophytes,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,]
algae,0.25,0,0,2,0,0.5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
plant,1.666667,0.25,0,0,0,0,0,0,2,0,0,1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1428571,0,2.5,]
seagrass,1.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
sponge,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
cnidarian,1.4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
annelid,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
echinoderm,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
mollusk,0.875,1,0,2,0,1.333333,0,0.2272727,1.636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
crustacean,0.5,1.5,0,0,0.5,0,0,0.5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,]
insect,0,0.75,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1,0,]
bird,0,0.25,0,0,0,0,0,1,1,0,0,0,0.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6666667,]
fish,2,0,0,0,2,0,0,0,0,0,0,0.9130435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
multiple,0.12,0.6666667,0,1,0.4444444,0,0,0.1363636,1,0,0.5714286,0.3333333,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,]
plant,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0.1428571,0,0,0,0,0,0,2,1.5,1,0,1,0,0,0,]
insect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,]
mammal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0.6666667,0,2,0,0,0,]
