"","algae","plant","seagrass","bryozoan","cnidarian","annelid","echinoderm","mollusk","crustacean","tunicate","fish","bacteria","Lichens/bryophytes","algae","plant","seagrass","sponge","cnidarian","annelid","echinoderm","mollusk","crustacean","insect","bird","fish","multiple","plant","insect","mammal"
"algae",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.833333333333333,-0.666666666666667,-0.5,-1.5,-0.4,0,-1,-0.625,0.25,0,0,-1,0.36,0,0,0
"plant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125,0,0,0,0,0,0,1,-1,-0.5,0,-0.4,0,0,0
"seagrass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"bryozoan",0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,0,0,0,0,2,0,0,0
"cnidarian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2,0,0,0,-2.5,0,0,-2,-0.444444444444444,0,0,0
"annelid",0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1,0,-0.333333333333333,0,0,2,0,-0.142857142857143,0,0,0
"echinoderm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5,0,0,0,0,0,0,0,0
"mollusk",0,0,0,0,0,0,0,0,0,0,0,-1,0,-3,0,0,0,0,0,0,-1.04761904761905,0.5,0,1,-1,0.0526315789473684,0,0,0
"crustacean",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-0.727272727272727,-1,0,0,0,-0.8,0,0,0
"tunicate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-0.285714285714286,0,0,0
"fish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.66666666666667,-2.33333333333333,0,0,0
"bacteria",0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lichens/bryophytes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0
"algae",-0.833333333333333,0,0,-1,0,0.25,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"plant",-0.666666666666667,-0.125,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,-1,-2
"seagrass",-0.5,0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sponge",-1.5,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cnidarian",-0.4,0,0,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"annelid",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"echinoderm",-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mollusk",-0.625,0,0,-1,0,-0.333333333333333,-1.5,-1.04761904761905,-0.727272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"crustacean",0.25,1,0,0,-2.5,0,0,0.5,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0
"insect",0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0
"bird",0,-0.5,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5
"fish",-1,0,0,0,-2,0,0,-1,0,0,-1.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"multiple",0.36,-0.4,0,2,-0.444444444444444,-0.142857142857143,0,0.0526315789473684,-0.8,-0.285714285714286,-2.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-2
"plant",0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-0.5,0,0,0,0,0,0,-2,-0.5,0,0,-2,0,0,0
"insect",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mammal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,-1.5,0,-2,0,0,0
