"","algae","plant","seagrass","bryozoan","cnidarian","annelid","echinoderm","mollusk","crustacean","tunicate","fish","bacteria","algae","plant","seagrass","bryozoan","cnidarian","annelid","echinoderm","mollusk","crustacean","insect","tunicate","fish","multiple","plant","insect","mammal"
"algae",0,0,0,0,0,0,0,0,0,0,0,0,-0.716628842392968,-0.100120977207028,-0.403092346534836,0,-0.144350331234404,-0.364153712588308,-0.452824798735814,0.0844420867413761,-0.303032070061238,-1.33189237458255,0,-0.582185724826319,-0.0957598403504944,0,0,0
"plant",0,0,0,0,0,0,0,0,0,0,0,-1.0812457733051,0,-0.604442757142857,0,0,0,-0.460741417712123,0,0,-0.910646913704625,-0.55544490262248,0,0,-0.653253170363494,0,0,0
"seagrass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.896331559626068,0,0,0,0,0,0,0,0,0,0,0,0,0
"bryozoan",0,0,0,0,0,0,0,0,0,0,0,0,-0.609078539711691,0,0,0,0,0,0,0,0,0,0,0,0.569359055849254,0,0,0
"cnidarian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127134798213929,0,0,0,-0.14151943584201,0,0,0,-0.30287535,0,0,0
"annelid",0,0,0,0,0,0,0,0,0,0,0,0,-0.553556388818433,0,0,0,0,0.250192767317316,0,-2.91083823025283,-0.212943382335185,0,0,0,-0.344411974964338,0,0,0
"echinoderm",0,0,0,0,0,0,0,0,0,0,0,0,-2.78979228746174,0,0,0,0,0,-0.198653554162132,-0.40536176333934,0,0,0,0,0,0,0,0
"mollusk",0,0,0,0,0,0,0,0,0,0,0,-0.287317851514426,1.0239980873504,0,0,0,0,-0.47587874899236,0,-0.80620551954039,-0.230071302471349,-2.300943,-0.819011350016466,-0.1180143,0.328820601155067,0,0,0
"crustacean",0,0,0,0,0,0,0,0,0,0,0,0,-0.926368463257609,-0.269187499173065,0,0,0,-1.29528716605102,0,-0.922453433603007,-1.11354306967521,0,0,0,-0.265878513871471,0,0,0
"tunicate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79597757949799,0,0.578267334173814,-0.583767300473875,-0.106236409973467,-0.122537978061317,0,0,0,1.34940122229899,0,0,0
"fish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.256135314268671,0,0,0,0
"bacteria",0,-1.0812457733051,0,0,0,0,0,-0.287317851514426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"algae",-0.716628842392968,0,0,-0.609078539711691,0,-0.553556388818433,-2.78979228746174,1.0239980873504,-0.926368463257609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.830067162221837
"plant",-0.100120977207028,-0.604442757142857,0,0,0,0,0,0,-0.269187499173065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0998834523390684,0,0
"seagrass",-0.403092346534836,0,-0.896331559626068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bryozoan",0,0,0,0,0,0,0,0,0,0.79597757949799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.467051585107969
"cnidarian",-0.144350331234404,0,0,0,-0.127134798213929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.534648936036344
"annelid",-0.364153712588308,-0.460741417712123,0,0,0,0.250192767317316,0,-0.47587874899236,-1.29528716605102,0.578267334173814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"echinoderm",-0.452824798735814,0,0,0,0,0,-0.198653554162132,0,0,-0.583767300473875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.370283602262622
"mollusk",0.0844420867413761,0,0,0,0,-2.91083823025283,-0.40536176333934,-0.80620551954039,-0.922453433603007,-0.106236409973467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.564114012075511
"crustacean",-0.303032070061238,-0.910646913704625,0,0,-0.14151943584201,-0.212943382335185,0,-0.230071302471349,-1.11354306967521,-0.122537978061317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.894022888069294
"insect",-1.33189237458255,-0.55544490262248,0,0,0,0,0,-2.300943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.201118888233941,0
"tunicate",0,0,0,0,0,0,0,-0.819011350016466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.544204000968231
"fish",-0.582185724826319,0,0,0,0,0,0,-0.1180143,0,0,-0.256135314268671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"multiple",-0.0957598403504944,-0.653253170363494,0,0.569359055849254,-0.30287535,-0.344411974964338,0,0.328820601155067,-0.265878513871471,1.34940122229899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.443843655719824,0,0
"plant",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0998834523390684,0,0,0,0,0,0,0,0,0,0,-0.443843655719824,0,0,0
"insect",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.201118888233941,0,0,0,0,0,0
"mammal",0,0,0,0,0,0,0,0,0,0,0,0,-0.830067162221837,0,0,-0.467051585107969,-0.534648936036344,0,-0.370283602262622,-0.564114012075511,-0.894022888069294,0,-0.544204000968231,0,0,0,0,0
