"","p. producer","herbivore","detritivore","omnivore","predator","p. producer","herbivore","detritivore","omnivore","predator","several"
"p. producer",0,0,0,0,0,-0.333999504950495,0.299738775510204,0.1156,-0.485628571428571,-0.161723684210526,-0.164674137931034
"herbivore",0,0,0,0,0,-0.4061875,-0.521156910569106,0.576021428571429,-0.255536206896552,0.31941,0.356839230769231
"detritivore",0,0,0,0,0,-0.2818,0,0,1.35188,0,0
"omnivore",0,0,0,0,0,-0.644659259259259,-0.720364285714286,0.31261,-0.439666666666667,0.384973684210526,-0.303262962962963
"predator",0,0,0,0,0,-0.789766666666667,-0.354020833333333,0.09585,-1.285,-0.141214285714286,-0.299452
"p. producer",-0.333999504950495,-0.4061875,-0.2818,-0.644659259259259,-0.789766666666667,0,0,0,0,0,0
"herbivore",0.299738775510204,-0.521156910569106,0,-0.720364285714286,-0.354020833333333,0,0,0,0,0,0
"detritivore",0.1156,0.576021428571429,0,0.31261,0.09585,0,0,0,0,0,0
"omnivore",-0.485628571428571,-0.255536206896552,1.35188,-0.439666666666667,-1.285,0,0,0,0,0,0
"predator",-0.161723684210526,0.31941,0,0.384973684210526,-0.141214285714286,0,0,0,0,0,0
"several",-0.164674137931034,0.356839230769231,0,-0.303262962962963,-0.299452,0,0,0,0,0,0
